,index,Тема,Описание,Тип оборудования,Точка отказа,Серийный номер
162,162.0,НК2-1404 v2 // Не работает зарядное устройство // C223100822,"Не работает зарядное устройство.
",Ноутбук,Блок питания,C223100822
163,163.0,"Полосы на экране. полосы могут появиться не сразу, а через некоторое время после включения.","Полосы на экране. полосы могут появиться не сразу, а через некоторое время после включения.

",Ноутбук,Матрица,C223090696
164,164.0,СИЛА НК2-1404 v2 // Неисправность ноутбука //  С223011138,"Прошу принять в гарантийный ремонт ноутбук ""СИЛА НК2-1404"" s/n: С223011138.
Заявленная неисправность: в процессе работы регулярно появляется ""синий экран"", и ноутбук сам уходит в перезагрузку. Переустановка ОС на ноутбуке проблему не устранило.
",Ноутбук,Диск ,C223011138
165,165.0,IBS. СИЛА C111120016 хрипит левый динамик,"Добрый день! 
На ноутбуке C111120016 хрипит левый динамик.
Обновление драйверов на звук не помогло.

 ",Ноутбук,Динамики,C111120016
166,166.0,Мерцает экран,Сила HK2-3404 (C223090004) мерцает экран.,Ноутбук,Матрица,C223090004
167,167.0,Сервер СР2-5422 // Ошибки на System Fan 2,Появились ошибки по датчику System Fan 2,Сервер,Материнская плата,D251110010
168,168.0,"HK2-1404 // Не работает порт Type-C, не работает зарядное устройство // C223102038","Не работает первый порт Type-C, не работает зарядное устройство.
",Ноутбук,Материнская плата,C223102038
169,169.0,Ремонт,"Добрый день, _x000D_
 У меня проблема с ноутбуком «Сила» HK2-3404. При подключении адаптера питания сильно нагревается угол ноутбука около штекера питания Type-C. _x000D_
 Зарядка не идет (или идет не постоянно). От аккумулятора работает нормально. Серийный номер – С223091266 _x000D_
 Данные для регистрации на вашем сайте ниже. _x000D_
 ",Ноутбук,Материнская плата,C223091266
170,170.0,Ноутбук СИЛА HK-1404 // полосы на экране // C223011328,"периодические чёрные вертикальные полосы на экране
",Ноутбук,Материнская плата,C223011328
171,171.0,Не включается дисплей,"Не включается дисплей
",Ноутбук,Материнская плата,C223093407
172,172.0,Ноутбук Сила не работает порт HDMI,"Добрый день_x000D_
При подключении внешнего монитора по HDMI не выводится изображение на монитор,  при этом основной экран ноутбука работает нормально. Проблема ""плавающая"", не постоянная, т.е. внешний подключенный монитор может работать несколько часов нормально, но потом пропадает изображения, моргает, может вообще изображение с монитора пропасть, при этом основной экран всегда работает нормально",Ноутбук,Материнская плата,C112050125
173,173.0,Гарантийный ремонт СИЛА C223012731,"Добрый день,
Как можно организовать забор ноутбука на гарантийный ремонт или отправку нам подменной запчасти?
Модель SILA HK2-1404
Серийный номер C223012731
Проблема в треске вентилятора, проявляется с момента начала эксплуатации, посторонних деталей или отломанных крыльчаток нет. Видео с демонстрацией проблемы - 
",Ноутбук,Вентилятор,C223012731
174,174.0,Гарантийный ремонт Т2,"Добрый день. 
 Прошу произвести гарантийный ремонт ноутбука: 
 1.       СИЛА НК2-1404 s/n C223014726 (Отклеилась защитная сетка на крышке, в связи с чем кулер цепляет и издает звук) 
 ",Ноутбук,Вентилятор,C223014726
175,175.0,HK2- 1404 // Не работает звук на ноутбуке //C223011358,"Добрый день,
Не работают звук на ноутбуке, переустановка и обновление драйверов не помогли.
Просьба завести заявку в рамках гарантийного ремонта.
",Ноутбук,Jack,C223011358
176,176.0,Ноутбук HK2-1404 // Неисправность зарядного устройства ноутбука СИЛА // C223012702,"Добрый день. 
В процессе эксплуатации у пользователя перестало работать зарядное устройство, оба порта type-c ноутбука корректно функционируют, визуально нет следов повреждения, c другими зарядными устройствами ноутбук корректно заряжается. Прошу заменить. Спасибо!
",Ноутбук,Блок питания,C223012702
177,177.0,Гарантия,"Будьте добры сообщить адрес сервисного центра в г.Липецке
",Ноутбук,Диск ,С222091091
178,178.0,HK2-1404 // Неисправность зарядного устройства ноутбука СИЛА // C223010240,"Добрый день. _x000D_
В процессе эксплуатации у пользователя перестало работать зарядное устройство, оба порта type-c ноутбука корректно функционируют, визуально нет следов повреждения, c другими зарядными устройствами ноутбук корректно заряжается. Прошу заменить. Спасибо!",Ноутбук,Блок питания,C223010240
179,179.0,вылетели 9 дисков и перезагрузилась резервная нода dd503,"Прошу открыть кейс.
Вылетели 9 дисков на датадомене dd503
Хронология:
Вылетели 2 диска,
перезагрузилась пассивная нода,
вылетели еще 7 дисков.
Дополнительно отобразилось уведомление <Active tier is low on spares>.
Все произошло в течении получаса.
@dd503-p1(active:1)# system show serial
Serial number: CKM01212505744
@dd503-p1(active:1)# system show model
Model number: DD9900 E
@dd503-p1(active:1)# alerts show current
Id      Post Time                  Severity   Class             Object                Message
-----   ------------------------   --------   ---------------   -------------------   ------------------------------------------------------------------------
m0-15   Wed Jan 31 22:17:26 2024   CRITICAL   HardwareFailure   Enclosure=2:Disk=59   EVT-STORAGE-00002: Unable to access a disk and the disk state is failed.
m0-16   Wed Jan 31 22:17:27 2024   CRITICAL   HardwareFailure   Enclosure=4:Disk=42   EVT-STORAGE-00002: Unable to access a disk and the disk state is failed.
m0-17   Wed Jan 31 22:33:23 2024   CRITICAL   HardwareFailure   Enclosure=2:Disk=2    EVT-STORAGE-00002: Unable to access a disk and the disk state is failed.
m0-18   Wed Jan 31 22:33:25 2024   CRITICAL   HardwareFailure   Enclosure=3:Disk=6    EVT-STORAGE-00002: Unable to access a disk and the disk state is failed.
m0-19   Wed Jan 31 22:33:26 2024   CRITICAL   HardwareFailure   Enclosure=3:Disk=17   EVT-STORAGE-00002: Unable to access a disk and the disk state is failed.
m0-20   Wed Jan 31 22:33:28 2024   CRITICAL   HardwareFailure   Enclosure=3:Disk=32   EVT-STORAGE-00002: Unable to access a disk and the disk state is failed.
m0-21   Wed Jan 31 22:33:29 2024   CRITICAL   HardwareFailure   Enclosure=3:Disk=50   EVT-STORAGE-00002: Unable to access a disk and the disk state is failed.
m0-22   Wed Jan 31 22:33:30 2024   CRITICAL   HardwareFailure   Enclosure=3:Disk=58   EVT-STORAGE-00002: Unable to access a disk and the disk state is failed.
m0-23   Wed Jan 31 22:33:31 2024   CRITICAL   HardwareFailure   Enclosure=4:Disk=24   EVT-STORAGE-00002: Unable to access a disk and the disk state is failed.
m0-24   Wed Jan 31 22:33:34 2024   WARNING    Storage           Tier=1                EVT-STORAGE-00013: Active tier is low on spares.
-----   ------------------------   --------   ---------------   -------------------   ------------------------------------------------------------------------
There are 10 active alerts.
@dd503-p1(active:1)# enclosure show summary
Enclosure   Model No.   Serial No.       State    OEM Name   OEM Value   Capacity
---------   ---------   --------------   ------   --------   ---------   --------
1           DD9900 E    CNWS30011F0045   Online                          4 Slots
2           DS60        52J5L83          Online                          60 Slots
3           DS60        28J5L83          Online                          60 Slots
4           DS60        91J5L83          Online                          60 Slots
5           DS60        42J5L83          Online                          60 Slots
6           FS25        1Y85L83          Online                          25 Slots
---------   ---------   --------------   ------   --------   ---------   --------
6 enclosures present.
@dd503-p1(active:1)# disk show state
Enclosure        Disk
  Row(disk-id)    1  2  3  4  5  6  7  8  9  10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25
--------------   ----------------------------------------------------------------------------
1                 s  .  .  .
2                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  .  s |.  .  s |.  .  s |.  F  . |
     D(37-48)    |.  .  . |.  .  . |.  .  . |.  .  . |
     C(25-36)    |.  .  . |.  .  . |.  .  . |.  .  . |
     B(13-24)    |.  .  . |.  .  . |.  .  . |.  .  . |
     A( 1-12)    |.  F  . |.  .  . |.  .  . |.  .  . |
                 |--------|--------|--------|--------|
3                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  F  . |.  .  s |.  .  s |F  .  R |
     D(37-48)    |.  .  . |.  .  . |.  .  . |.  R  . |
     C(25-36)    |.  .  . |.  .  . |.  F  . |.  .  . |
     B(13-24)    |.  .  . |.  F  . |.  .  . |.  .  . |
     A( 1-12)    |.  .  . |.  .  F |.  .  . |.  .  . |
                 |--------|--------|--------|--------|
4                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  .  s |.  .  s |.  .  s |.  .  . |
     D(37-48)    |.  .  . |.  .  F |.  .  . |.  .  . |
     C(25-36)    |.  .  . |.  .  . |.  .  . |.  .  . |
     B(13-24)    |.  .  . |.  .  . |.  .  . |.  .  F |
     A( 1-12)    |.  .  . |.  .  . |.  .  . |.  .  . |
                 |--------|--------|--------|--------|
5                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  .  s |-  -  - |-  -  - |-  -  - |
     D(37-48)    |.  .  . |-  -  - |-  -  - |-  -  - |
     C(25-36)    |.  .  . |-  -  - |-  -  - |-  -  - |
     B(13-24)    |.  .  . |-  -  - |-  -  - |-  -  - |
     A( 1-12)    |.  .  . |-  -  - |-  -  - |-  -  - |
                 |--------|--------|--------|--------|
6                 .  .  .  .  .  .  .  .  .  .  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -
--------------   ----------------------------------------------------------------------------
Legend   State                          Count
------   ----------------------------   -----
.        In Use Disks                   188
s        Spare Disks                    10
R        Spare (reconstructing) Disks   2
F        Failed Disks                   9
-        Not Installed Disks            60
------   ----------------------------   -----
Total 209 disks
Disk    Disks       
__________________________________
Полный текст обращения смотри в ""Оригинал письма.eml""",СХД,Диск,CKM01212505744
180,180.0,FW: Гарантийный случай,"
 Добрый день 
 по одному из ноутбуков СИЛА НК2-1404 вышел из строя блок питания.  

 ",Ноутбук,Блок питания,C223014096
181,181.0,Ноутбук СИЛА HK2-1404 // Неисправность зарядного устройства ноутбука СИЛА // C223012673,"Добрый день!_x000D_
В процессе эксплуатации у пользователя перестало работать зарядное устройство, оба порта type-c ноутбука корректно функционируют, визуально нет следов повреждения, c другими зарядными устройствами ноутбук корректно заряжается. Прошу заменить. Спасибо!_x000D_
",Ноутбук,Блок питания,C223012673
182,182.0,HK2-1404 // Проблема с матрицей и портом type-c // C223012100,"Добрый день!
На дисплее время от времени появляются полосы, иногда проходит само, если нет, то помогает перезагрузка.
Ещё не работает один порт type-c.

",Ноутбук,Материнская плата,C223012100
183,183.0,"Аварийная перезагрузка сервера,  UMA operation error","Аварийно перезагрузился сервер, в логе BMC появилось совпадающее по времени событие:_x000D_
20	 Critical	2024-05-31 17:38:27 (UTC+3)_x000D_
Intel ME has encountered UMA operation error. Details: UMA Read/Write timeout. Timeout occurred during copying data from/to UMA._x000D_
_x000D_
Просьба продиагностировать, возможно ли использовать данный сервер в продуктивном контуре ?",Сервер,Материнская плата,d252090013
184,184.0,Не работает зарядка Type-C СИЛА НК2-1404 // C223101296,"Не работает зарядное устройство Type-C СИЛА НК2-1404 // C223101296_x000D_
От другого устройства зарядка идет корректно._x000D_
_x000D_
",Ноутбук,Блок питания,C223101296
185,185.0,Ноутбук Сила HK2-3404 (SN: C223091736),"Ноутбук Сила HK2-3404 (SN: C223091736)
Из коробки  индикация не реагирует на подключение блока питания.
Не включается.
Проверено несколько БП, оба порта USB type C.
",Ноутбук,Материнская плата,C223091736
186,186.0,СХД CX4-1127-00 // Неисправный диск // CKM00194301861,"Добрый день. 
Коллеги, 
Прошу открыть кейс по неисправному диску на dd: dd202.region..ru - Disk 3.49 [SN: ZC1C32DR] Enclosure=3:Disk=49
@dd202-p1(active:0)# alerts show current
Id      Post Time                  Severity   Class               Object                Message
-----   ------------------------   --------   -----------------   -------------------   ------------------------------------------------------------------------
p0-86   Fri Apr  5 06:22:28 2024   ERROR      SystemMaintenance                         EVT-SMTOOL-00001: Error communicating with mail server.
m0-53   Fri May 17 07:50:53 2024   CRITICAL   HardwareFailure     Enclosure=3:Disk=49   EVT-STORAGE-00002: Unable to access a disk and the disk state is failed.
-----   ------------------------   --------   -----------------   -------------------   ------------------------------------------------------------------------
There are 2 active alerts.
@dd202-p1(active:0)#
@dd202-p1(active:0)# system show serial
Serial number: CKM00194301861
@dd202-p1(active:0)# system show model
Model number: DD9800
@dd202-p1(active:0)# enclosure show summary
Enclosure   Model No.   Serial No.       State    OEM Name   OEM Value   Capacity
---------   ---------   --------------   ------   --------   ---------   --------
1           DD9800      NVT10193400046   Online                          4 Slots
2           DS60        FCNCD191700342   Online                          60 Slots
3           DS60        FCNCD191700150   Online                          60 Slots
4           DS60        FCNCD191700305   Online                          60 Slots
5           DS60        FCNCD191700419   Online                          60 Slots
6           DS60        FCNCD191500258   Online                          60 Slots
7           DS60        FCNCD191700040   Online                          60 Slots
8           ES30        CKM00194101704   Online                          15 Slots
---------   ---------   --------------   ------   --------   ---------   --------
8 enclosures present.
@dd202-p1(active:0)# disk show state
Enclosure        Disk
  Row(disk-id)    1  2  3  4  5  6  7  8  9  10 11 12 13 14 15
--------------   ----------------------------------------------
1                 .  .  .  .
2                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  s  . |.  .  . |.  .  . |.  .  s |
     D(37-48)    |.  .  . |.  .  . |.  .  . |.  .  . |
     C(25-36)    |.  .  . |.  .  . |.  .  . |.  .  . |
     B(13-24)    |.  .  . |.  .  . |.  .  s |.  .  . |
     A( 1-12)    |.  .  . |.  .  . |.  .  . |.  .  s |
                 |--------|--------|--------|--------|
3                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |F  .  . |.  .  . |.  .  R |.  .  s |
     D(37-48)    |.  .  . |.  .  . |.  .  . |.  .  . |
     C(25-36)    |s  .  . |.  .  . |.  .  . |.  .  . |
     B(13-24)    |.  .  . |.  .  . |.  .  . |.  .  . |
     A( 1-12)    |s  .  . |.  .  . |.  .  . |.  .  . |
                 |--------|--------|--------|--------|
4                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  .  s |.  .  . |s  .  s |.  .  . |
     D(37-48)    |.  .  . |.  .  . |s  .  . |.  .  . |
     C(25-36)    |.  .  . |.  .  . |.  .  . |.  .  . |
     B(13-24)    |.  .  . |.  .  . |.  .  . |.  .  . |
     A( 1-12)    |.  .  . |.  .  . |.  .  . |.  .  . |
                 |--------|--------|--------|--------|
5                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  .  s |.  .  . |.  .  . |.  .  . |
     D(37-48)    |.  .  . |.  .  . |.  .  . |.  .  . |
     C(25-36)    |.  .  . |s  .  . |.  s  . |.  .  . |
     B(13-24)    |.  .  . |.  .  . |.  .  . |.  .  . |
     A( 1-12)    |.  .  . |.  .  . |.  s  . |.  .  . |
                 |--------|--------|--------|--------|
6                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  .  . |.  .  . |.  .  s |.  .  s |
     D(37-48)    |.  .  . |.  .  . |.  .  . |.  .  . |
     C(25-36)    |.  .  . |.  .  . |.  .  . |.  .  . |
     B(13-24)    |.  .  . |.  .  . |.  s  . |.  s  . |
     A( 1-12)    |.  .  . |.  .  . |.  .  . |.  .  . |
                 |--------|--------|--------|--------|
7                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  .  . |-  -  - |-  -  - |-  -  - |
     D(37-48)    |.  .  . |-  -  - |-  -  - |-  -  - |
     C(25-36)    |.  .  . |-  -  - |-  -  - |-  -  - |
     B(13-24)    |.  .  . |-  -  - |-  -  - |-  -  - |
     A( 1-12)    |s  .  . |-  -  - |-  -  - |-  -  - |
                 |--------|--------|--------|--------|
8                 .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
--------------   ----------------------------------------------

Legend   State                          Count
------   ----------------------------   -----
.        In Use Disks                   312
s        Spare Disks                    20
R        Spare (reconstructing) Disks   1
F        Failed Disks                   1
-        Not Installed Disks            45
------   ----------------------------   -----
Total 334 disks

Disk    Disks            Progress   Remaining
Group   Reconstructing   (%)        (minutes)
-----   --------------   --------   ---------
dg10    3.57             38         407
-----   --------------   --------   ---------",СХД,Диск,CKM00194301861
187,187.0,Ноутбук Сила НК2-3404,"Добрый день._x000D_
Нам поступили ноутбуки Сила НК2-3404 и нужны драйвера для корпоративной Win 10 Версия 22H2._x000D_
",Ноутбук,Консультация,C223091216 C223091307 C223091468 C223091751 C223090099 C223090635 C223091364 C223091547 C223091736 C223091275 C223091861 C223090091 C223090302 C223090269 C223090214
188,188.0,Ноутбук СИЛА НК2-3404// рябь экрана // c223091025,"Коллеги, привет!

Столкнулись с проблемой на ноутбуке Сила модель нк2-3404 s/n c223091025
У пользователя начал рябить экран, видео прилагаю
Необходимо организавать гарантийный ремонт ноутбука
",Ноутбук,Матрица,C223091025
189,189.0,НК2-1404 // Не работает Wi-FI (Кашира)// C223101219,"На устройстве не работает WiFi
",Ноутбук,Wi-fi модуль,C223101219
190,190.0,Не работает блок питания (зарядка),Не работает блок питания (зарядка),Ноутбук,Блок питания,С223093223
191,191.0,Ноутбук НК2-1404 //Не работает клавиша F1 или срабатывает с задержкой//С223010731,"Добрый день,
после ремонта ноутбука перестала срабатывать кнопка F1 и иногда срабатывает сама и вызывает окно справки в приложения и браузере.
Просьба завести заявку в рамках гарантийного ремонта.
",Ноутбук,Клавиатура,С223010731
192,192.0,Отказ блока питания,"Добрый день! 
 У нас перестал работать зарядник от ноутбука НК2-1404 (JHD-AD065B-BA-PD05) 
 Можете предложить решение по ремонту/замене? 
",Ноутбук,Блок питания,C222091750
193,193.0,Обновление BIOS и BMC Cube,"Добрый день!_x000D_
Если были обновления этих компонентов, прошу предоставить для скачивания._x000D_
И появился ли у вас какой-то портал с прошивками и инструкциями по оборудованию Сила?",Сервер,Консультация,D263080001
194,,Проблемы с доступом к данным на СХД XStor 5000 // C223045678,"Добрый день.  
У меня возникли сложности с доступом к данным на СХД XStor 5000. При попытке открыть файлы система выдает ошибку, и я не могу выполнить необходимые операции. Прошу помочь в решении данной проблемы.  
Спасибо.",,Диск,
195,,Проблемы с доступом к данным на СХД C223012430,"Добрый день. У меня возникли трудности с доступом к данным на СХД C223012430. При попытке открыть файлы система выдает ошибку, и я не могу получить к ним доступ. Прошу помочь в решении данной проблемы. Спасибо!",,Диск,
196,,Проблемы с доступом к данным на СХД C223012430,"Добрый день. У меня возникли трудности с доступом к данным на СХД C223012430. При попытке открыть файлы система выдает ошибку, и я не могу получить к ним доступ. Прошу помочь в решении данной проблемы. Спасибо!",,Диск,
197,,Проблемы с доступом к данным на СХД модель XDS-500 // C223012789,"Добрый день.  
У меня возникли трудности с доступом к данным на СХД модель XDS-500. При попытке открыть файлы система выдает ошибку, а индикаторы состояния показывают, что устройство работает, но доступ к информации невозможен.  
Прошу помочь в решении данной проблемы.  
Спасибо.",,Диск,
198,,Проблемы с доступом к данным на СХД C223012430,"Добрый день. У меня возникли трудности с доступом к данным на СХД C223012430. При попытке открыть файлы система выдает ошибку, и я не могу получить к ним доступ. Прошу помочь в решении данной проблемы. Спасибо!",,Диск,
199,,Проблемы с доступом к данным на СХД C223012430,"Добрый день. У меня возникли трудности с доступом к данным на СХД C223012430. При попытке открыть файлы система выдает ошибку, и я не могу получить к ним доступ. Прошу помочь в решении данной проблемы. Спасибо!",,Диск,
200,,Проблемы с доступом к данным на СХД C223012430,"Добрый день. У меня возникли трудности с доступом к данным на СХД C223012430. При попытке открыть файлы система выдает ошибку, и я не могу получить к ним доступ. Прошу помочь в решении данной проблемы. Спасибо!",,Диск,
201,,Проблемы с доступом к данным на СХД Model X // C223012345,"Добрый день.  
У меня возникли трудности с доступом к данным на СХД Model X. При попытке открыть файлы система выдает ошибку, и некоторые данные недоступны. Прошу помочь в решении данной проблемы.  
Спасибо.",,Диск,
202,,Проблемы с доступом к данным на СХД XtremeStor 5000 // C223012450,"Добрый день.  
Обнаружил, что не могу получить доступ к данным на СХД XtremeStor 5000. При попытке открыть файлы система выдает ошибку, и доступ к некоторым разделам заблокирован. Прошу помочь в решении данной проблемы.  
Спасибо.",,Диск,
203,,Проблемы с доступом к данным на СХД XStor 5000 // C223012457,"Добрый день.  
У меня возникли проблемы с доступом к данным на СХД XStor 5000. В последнее время я заметил, что скорость чтения и записи значительно снизилась, а некоторые файлы стали недоступны. Прошу помочь в решении данной проблемы.  
Спасибо.",,Диск,
204,,Проблемы с доступом к данным на СХД RDX-3000 // Невозможность чтения данных // C223045678,"Добрый день.  
У меня возникли сложности с доступом к данным на СХД RDX-3000. При попытке открыть файлы система сообщает об ошибке чтения, и я не могу получить доступ к важной информации. Прошу помочь в решении данной проблемы.  
Спасибо.",,Диск,
205,,Проблемы с доступом к данным на СХД XYZ-500 // C223012430,"Добрый день.  
У меня возникли сложности с доступом к данным на СХД XYZ-500. При попытке открыть файлы, система выдает ошибки и не позволяет их загрузить. Это создает значительные трудности в работе, так как данные критически важны для выполнения текущих задач.  
Прошу помочь в решении данной проблемы.  
Спасибо.",,Диск,
206,,Проблемы с доступом к данным на СХД C223012430,"Добрый день. У меня возникли трудности с доступом к данным на СХД C223012430. При попытке открыть файлы система выдает ошибку, и я не могу получить к ним доступ. Прошу помочь в решении данной проблемы. Спасибо!",,Диск,
207,,Проблемы с доступом к данным на СХД XG-1234 // C223012890,"Добрый день.  
С недавнего времени я заметил, что доступ к данным на СХД XG-1234 стал очень медленным, и иногда система вовсе не может их обнаружить. Это создает значительные трудности в работе.  
Прошу помочь в решении данной проблемы.  
Спасибо.",,Диск,
208,,Проблемы с доступом к данным на СХД C123456789,"Добрый день. У меня возникли трудности с доступом к данным на СХД C123456789. При попытке открыть файлы система выдает ошибку, и я не могу получить к ним доступ. Прошу помочь в решении данной проблемы. Спасибо!",,Диск,
209,,Проблемы с доступом к данным на СХД C223012430,"Добрый день. У меня возникли трудности с доступом к данным на СХД C223012430. При попытке открыть файлы система выдает ошибку, и я не могу получить к ним доступ. Прошу помочь в решении данной проблемы. Спасибо!",,Диск,
210,,Проблемы с доступом к данным на СХД XStor 5000 // C223012430,"Добрый день.  
У меня возникли трудности с доступом к данным на СХД XStor 5000. При попытке открыть файлы система выдает ошибки, и несколько важных проектов стали недоступны. Прошу помочь в решении данной проблемы.  
Спасибо.",,Диск,
211,,Проблемы с доступом к данным на СХД XtremeStor // C223012450,"Добрый день.  
Недавно я заметил, что доступ к данным на СХД XtremeStor стал значительно медленнее, и некоторые файлы не открываются. Это создает сложности в работе, так как не удается оперативно получить нужную информацию.  
Прошу помочь в решении данной проблемы.  
Спасибо.",,Диск,
212,,Проблемы с доступом к данным на СХД C223012430,"Добрый день. У меня возникли трудности с доступом к данным на СХД C223012430. При попытке открыть файлы система выдает ошибку, и я не могу получить к ним доступ. Прошу помочь в решении данной проблемы. Спасибо!",,Диск,
213,,Проблемы с доступом к данным на СХД // C223012430,"Добрый день. В последнее время я заметил, что доступ к данным на моем устройстве стал затруднительным. Иногда система не распознает диски, и я не могу открыть важные файлы. Прошу помочь в решении данной проблемы. Спасибо!",,Диск,
214,,Проблемы с сервером SuperServer X10 // Не удается подключиться к сети // S123456789,"Добрый день.  
У меня возникли проблемы с сервером SuperServer X10. Я заметил, что сервер не отвечает на запросы, и не удается установить соединение с сетью. Все индикаторы на панели управления работают, но доступ к ресурсам отсутствует.  
Прошу помочь в решении данной проблемы.  
Спасибо.",,Сервер,
215,,Проблемы с доступом к серверу Srv-2023 // Ошибка подключения // C223045678,"Добрый день.  
У меня возникли проблемы с доступом к серверу Srv-2023. При попытке подключения получаю сообщение об ошибке, хотя сетевое оборудование работает исправно.  
Прошу помочь в решении данной проблемы.  
Спасибо.",,Сервер,
216,,Проблемы с доступом к серверу SuperServer X2000 // Не удается подключиться // S200012345,"Добрый день.  
В последнее время я заметил, что не удается подключиться к серверу SuperServer X2000. При попытке доступа возникают ошибки, хотя индикаторы работы устройства светятся как обычно. Прошу помочь в решении данной проблемы.  
Спасибо.",,Сервер,
217,,Проблемы с доступом к серверу X-Server 2023 // C223045678,"Добрый день.  
У меня возникли сложности с доступом к серверу X-Server 2023. Сервер не отвечает на запросы, и я не могу получить доступ к необходимым данным. При этом индикаторы на передней панели горят в обычном режиме. Прошу помочь в решении данной проблемы.  
Спасибо.",,Сервер,
218,,Проблемы с сервером SVC-2023 // Не удается подключиться к сети // C223012450,"Добрый день. У меня возникли проблемы с сервером SVC-2023. Я заметил, что не удается подключиться к сети, и все попытки перезагрузки не приносят результата. Прошу помочь в решении данной проблемы. Спасибо!",,Сервер,
219,,Проблемы с сервером RUC-Server-2023 // Не удается подключиться к сети,"Добрый день. В последнее время я заметил, что сервер RUC-Server-2023 не отвечает на запросы и не удается подключиться к сети. Индикаторы на панели работают, но доступ к данным стал невозможен. Прошу помочь в решении данной проблемы. Спасибо!",,Сервер,
220,,Проблемы с доступом к данным на сервере XTR-500 // C223045678,"Добрый день.  
В последнее время я заметил, что сервер XTR-500 стал очень медленно обрабатывать запросы, и периодически возникают ошибки при попытке получить доступ к данным. Это значительно затрудняет выполнение рабочих задач.  
Прошу помочь в решении данной проблемы.  
Спасибо.",,Сервер,
221,,Проблемы с сервером SrvX-2000 // Не удается подключиться к сети // C223012450,"Добрый день. В последнее время я заметил, что сервер SrvX-2000 не реагирует на попытки подключения к сети. Индикаторы работают, но доступ к данным невозможен. Прошу помочь в решении данной проблемы. Спасибо!",,Сервер,
222,,Проблемы с сервером RUC-Server-2023 // Не удается подключиться к сети,"Добрый день. У меня возникли проблемы с сервером RUC-Server-2023. Я заметил, что не удается подключиться к сети, и все попытки перезагрузить устройство не приносят результата. Сервер работает, но доступ к данным стал невозможен. Прошу помочь в решении данной проблемы. Спасибо!",,Сервер,
223,,Сервер Dell PowerEdge R740 // Не реагирует на команды // SN: 123456789,"Добрый день.  
Сервер перестал отвечать на команды и не выполняет задачи, хотя индикаторы на панели управления светятся. Прошу помочь в решении данной проблемы.  
Спасибо.",,Сервер,
224,,Проблемы с сервером SVC-2023 // Не удается подключиться к сети // C223012450,"Добрый день. У меня возникли проблемы с сервером SVC-2023. Я заметил, что не удается подключиться к сети, хотя все индикаторы работают. Прошу помочь в решении данной проблемы. Спасибо!",,Сервер,
225,,Проблемы с сервером SVC-2023 // Не удается подключиться к сети // C223012450,"Добрый день. У меня возникли проблемы с сервером SVC-2023. Я заметил, что не удается подключиться к сети, и все попытки перезагрузки не приносят результата. Прошу помочь в решении данной проблемы. Спасибо!",,Сервер,
226,,Проблемы с доступом к серверу XTR-9000 // C223045678,"Добрый день.  
У меня возникли проблемы с доступом к серверу XTR-9000. Он не отвечает на запросы, и я не могу подключиться к нему через удаленный доступ. При этом индикаторы на передней панели светятся, но система не загружается. Прошу помочь в решении данной проблемы.  
Спасибо.",,Сервер,
227,,Проблемы с сервером RUC-Server-2023 // Не удается подключиться к сети,"Добрый день. В последнее время я заметил, что сервер RUC-Server-2023 не отвечает на запросы и не удается подключиться к сети. Индикаторы на панели работают, но доступ к данным стал невозможен. Прошу помочь в решении данной проблемы. Спасибо!",,Сервер,
228,,Проблемы с сервером RUC-Server-2023 // Не удается подключиться к сети,"Добрый день. У меня возникли проблемы с сервером RUC-Server-2023. Я заметил, что не удается подключиться к сети, и все попытки перезагрузить устройство не приносят результата. Прошу помочь в решении данной проблемы. Спасибо!",,Сервер,
229,,Проблемы с доступом к серверу Srv-2023 // C223045678,"Добрый день.  
У меня возникли трудности с доступом к серверу Srv-2023. При попытке подключиться, система сообщает о тайм-ауте, и я не могу получить доступ к необходимым данным. Прошу помочь в решении данной проблемы.  
Спасибо.",,Сервер,
230,,Проблемы с сервером SVC-2023 // Не удается подключиться к сети // C223012450,"Добрый день. У меня возникли проблемы с сервером SVC-2023. Я заметил, что не удается подключиться к сети, и все попытки перезагрузки не приносят результата. Прошу помочь в решении данной проблемы. Спасибо!",,Сервер,
